age,population density,education,employed,salary,chronic illness,dash speed,run speed,lives in flat,creativity,food supply,survival time
19,1444.5,0,0,1776.83,0,6.021,2.719,1,35.7,0.8,7.9
53,319.6,0,0,2425.50,1,1.148,0.569,0,24.2,0.9,4.7
47,1130.6,2,1,30992.79,1,6.627,0.778,0,53.5,4.6,9.0
65,64.1,3,0,3526.52,1,3.809,0.484,0,42.1,1.0,5.8
7,186.8,0,0,169.58,0,4.999,2.715,0,32.0,0.9,5.3
62,2470.2,4,1,36632.36,0,5.110,2.226,1,88.6,4.3,12.8
30,5493.8,3,0,3006.42,0,5.575,2.360,1,81.6,1.1,8.5
28,2376.7,4,1,32138.64,1,5.618,2.811,0,95.0,8.2,16.0
16,4479.1,0,0,491.82,0,5.851,3.157,0,34.0,0.5,5.0
57,3637.2,4,1,36170.56,0,5.921,2.770,1,84.8,2.5,11.2
20,2749.3,0,1,2240.28,0,6.646,2.826,1,28.6,0.5,7.8
31,234.2,0,1,15193.75,0,6.520,3.096,0,47.9,1.7,6.0
33,76.4,0,1,7988.17,0,6.537,2.835,0,24.0,1.4,5.1
16,2296.1,0,0,93.52,0,5.625,2.520,1,51.3,0.7,7.4
39,2376.7,4,1,26067.68,1,7.076,0.859,0,88.1,2.8,8.2
38,154.2,2,1,25255.98,0,5.165,2.961,0,41.7,2.7,6.9
40,629.8,3,1,30839.57,0,6.858,3.174,0,72.2,2.0,8.5
46,6053.4,2,0,2953.27,0,5.361,2.922,0,39.8,0.8,7.9
10,1442.1,0,0,16.39,1,5.773,2.951,0,39.2,0.7,4.7
77,180.8,1,0,34834.75,1,4.420,0.485,0,18.9,5.7,11.8
43,2629.0,2,1,20193.65,0,5.265,3.062,0,55.4,3.2,7.8
21,982.9,3,1,8219.27,0,5.823,3.206,0,73.3,1.9,7.6
54,192.9,3,1,27457.15,0,5.559,2.310,0,43.1,5.8,11.4
72,5121.8,0,0,11258.10,1,1.129,0.516,1,14.1,2.5,8.3
92,4778.3,3,0,30983.14,1,0.671,0.287,0,40.5,5.4,12.2
58,3802.6,4,1,36153.61,1,4.961,2.647,0,90.5,2.9,8.3
81,82.6,0,0,17570.02,1,0.720,0.349,0,12.3,4.2,8.2
21,2594.7,0,1,10151.00,0,6.734,3.653,0,32.3,1.4,6.6
37,234.3,4,1,21512.61,0,5.884,3.340,0,90.5,5.0,10.8
10,4864.2,0,0,60.20,1,5.551,2.425,1,44.8,1.1,8.0
59,2562.9,4,1,29858.38,1,4.479,2.413,1,81.1,7.6,15.3
20,3113.7,0,1,10811.85,0,6.172,2.699,0,35.6,0.7,4.8
37,4332.1,2,1,18811.54,0,6.756,3.312,1,51.9,4.6,11.3
20,221.1,3,1,4095.87,1,6.065,2.899,0,62.6,1.6,9.7
49,10609.4,4,1,45114.39,1,6.368,2.804,1,89.6,0.6,8.5
51,101.6,4,0,3122.79,1,4.999,2.577,0,92.5,0.7,6.2
6,174.8,0,0,56.42,0,4.530,2.150,0,39.0,1.2,5.2
68,838.4,4,0,18724.47,1,5.935,0.602,0,78.2,4.7,11.2
48,3637.2,2,1,25381.92,0,4.920,2.352,0,50.2,2.0,8.0
84,4266.4,0,0,20391.97,1,1.070,0.546,0,-1.2,3.4,6.4
50,6591.8,4,1,61972.24,1,6.424,3.299,0,91.7,2.4,11.3
56,321.7,4,1,50356.69,1,1.290,0.578,0,74.7,10.4,16.4
70,2634.2,4,0,25486.21,1,1.063,0.559,1,80.3,5.1,12.6
49,139.0,2,1,28216.81,0,6.674,3.329,0,49.2,4.2,9.4
65,200.6,0,1,13818.43,1,4.443,0.418,0,14.3,4.7,9.4
13,1225.6,0,0,247.78,0,5.732,2.943,1,55.6,1.2,8.3
7,1044.8,0,0,72.61,0,4.973,2.368,0,28.7,1.0,6.2
33,3336.0,4,1,34006.70,0,6.992,3.370,0,96.0,4.1,10.1
14,1700.6,0,0,586.92,1,5.135,2.085,1,39.9,0.7,6.7
49,263.9,0,1,27275.94,0,5.456,2.372,0,29.4,3.5,7.6
70,153.1,4,0,40982.12,1,5.081,0.626,0,64.2,7.6,12.5
43,4990.6,4,1,17311.10,0,5.396,2.828,1,87.0,3.4,11.1
83,2551.3,3,0,28517.77,0,4.295,2.086,1,50.3,2.4,9.2
39,1169.4,4,0,3715.20,0,6.775,3.117,0,90.9,1.0,8.3
46,327.0,0,1,16049.98,1,6.111,0.733,0,23.7,3.1,7.5
1,142.8,0,0,0.00,0,3.730,1.524,0,27.6,0.6,11.1
45,316.8,2,1,27787.19,0,6.036,2.967,0,45.4,7.8,12.8
15,584.9,0,0,1070.85,0,5.995,3.276,0,42.5,0.7,5.2
59,1044.8,4,1,21129.16,1,5.440,2.761,1,81.6,6.9,14.2
35,388.8,1,1,22462.59,0,6.592,3.208,0,31.0,5.0,9.0
8,630.1,0,0,814.85,0,4.970,2.787,0,43.8,0.5,4.7
13,1492.8,0,0,109.31,0,4.861,2.237,0,41.3,0.6,4.7
10,2785.7,0,0,50.04,0,5.200,2.050,1,48.2,0.3,8.2
36,6113.9,1,1,23199.65,0,5.924,2.360,0,30.3,1.6,7.1
46,977.6,0,0,2618.40,0,6.054,3.401,1,42.1,1.1,7.9
10,292.9,0,0,1186.92,0,5.632,2.620,0,38.5,0.5,4.5
22,1492.8,4,0,2506.87,0,6.770,3.305,1,110.3,0.5,8.4
12,267.7,0,0,6.92,1,5.708,2.587,0,48.5,0.8,5.3
32,3303.2,3,1,23873.87,0,6.214,3.014,1,69.0,2.4,10.4
83,2221.2,4,0,47614.53,1,0.961,0.490,1,61.4,2.3,9.0
37,354.8,3,1,21564.84,0,5.794,2.586,0,67.5,3.1,9.6
74,282.8,3,0,35574.05,0,3.406,1.970,0,46.5,8.5,13.8
78,186.2,1,0,31508.32,0,5.054,2.198,0,13.8,7.2,11.0
74,29.1,3,0,34168.72,1,4.882,0.509,0,37.3,11.1,16.1
32,8921.5,0,1,8247.91,0,6.800,3.137,1,28.4,1.1,10.0
66,1706.0,3,0,3345.36,1,5.309,0.660,0,40.8,1.1,5.8
29,1144.4,2,1,12834.66,0,6.302,3.430,0,49.5,3.6,9.0
2,82.6,0,0,0.00,0,3.516,1.596,0,35.6,1.1,5.2
30,726.4,4,0,3117.60,0,5.755,2.813,0,87.2,1.0,6.7
5,4780.6,0,0,87.34,0,4.370,2.638,0,39.6,0.6,4.8
59,3433.4,4,1,33793.53,0,5.573,3.411,0,88.3,1.8,8.3
48,11174.1,4,1,55112.10,0,5.435,2.228,1,81.6,0.8,7.9
34,15794.5,0,1,29798.30,0,6.224,3.284,0,38.8,0.7,8.2
55,153.1,2,0,3084.84,1,5.601,0.656,0,36.5,0.5,5.3
67,3555.7,3,1,31726.22,1,0.988,0.462,1,48.2,5.6,13.1
27,1172.5,4,1,34903.60,0,5.836,2.932,0,97.0,2.3,8.3
33,1357.8,0,1,8816.75,0,6.339,3.064,1,40.7,1.5,9.4
33,3637.2,4,1,33782.97,0,7.209,3.823,0,104.1,3.2,10.3
92,493.9,0,0,17659.27,1,0.655,0.192,0,6.4,5.7,9.2
83,1466.2,4,0,56542.03,1,3.381,0.440,1,71.9,10.1,17.7
80,282.8,0,0,12452.32,0,3.879,1.917,0,12.8,1.9,6.0
29,553.0,3,1,29121.31,0,5.755,2.338,0,85.2,2.9,10.2
